gait%,hamstrings,bifemsh,glut_max,iliopsoas,rect_fem,vasti,gastroc,soleus,tib_ant
0,0.01253,0.04993,0.00144,0.10993,5.00E-05,0.02196,3.00E-05,-0.00156,0.26449
1,0.036990856,0.069977722,0.003559459,0.115485149,9.21E-05,0.019830359,5.84E-05,-0.00156,0.26673898
2,0.058685039,0.10383156,0.017342,0.120062127,0.000134273,0.017700717,9.10E-05,-0.00156,0.272661077
3,0.109194882,0.125072858,0.057647668,0.123715841,0.000177452,0.01544067,0.000125214,-0.00156,0.272925907
4,0.176415029,0.125194218,0.094220159,0.120372,0.000226586,0.012811859,0.000153609,-0.00156,0.264670952
5,0.246674726,0.12093701,0.133859387,0.10761693,0.000270617,0.010682218,0.000182004,-0.00156,0.255718792
6,0.316982885,0.116239249,0.161375928,0.096659367,0.000314853,0.012293374,0.000212999,-0.00156,0.244707289
7,0.353037595,0.109122071,0.172804086,0.087161112,0.000363987,0.0229156,0.000248493,-0.00156,0.243506732
8,0.309785479,0.095983734,0.180929166,0.078945754,0.000406961,0.056402353,0.000277209,-0.00156,0.266640539
9,0.277463982,0.084970784,0.19138044,0.070732257,0.000452271,0.098016864,0.000305613,-0.00156,0.291233106
10,0.250645843,0.075269531,0.211230126,0.06310996,0.000501234,0.141185,0.000334009,-0.00156,0.318914668
11,0.247230516,0.067040258,0.238277914,0.058734744,0.000543348,0.166378662,0.000362404,-0.00156,0.343498241
12,0.24951525,0.059724046,0.262808042,0.054367217,0.000589707,0.186253075,0.000395999,-0.00156,0.369721813
13,0.252265207,0.055401952,0.272942414,0.049622058,0.000637578,0.206562528,0.000429194,-0.00156,0.398299462
14,0.245064545,0.050142631,0.250529432,0.044867842,0.000679693,0.222279981,0.000457589,-0.00156,0.418687361
15,0.222508899,0.045497764,0.223390114,0.04269802,0.000721807,0.226967344,0.000486003,-0.00156,0.386281616
16,0.198004625,0.040821561,0.201010176,0.038737512,0.001663472,0.226622771,0.00051801,-0.00156,0.357377698
17,0.174172448,0.036021718,0.181243162,0.035255484,0.006660632,0.224493129,0.000552803,-0.00156,0.327767253
18,0.156661079,0.033922905,0.165099594,0.033078184,0.02354926,0.222362224,0.000581198,-0.00156,0.303517368
19,0.141985613,0.031822893,0.150709607,0.030357013,0.057032492,0.218741261,0.000609593,-0.00156,0.285147738
20,0.127312574,0.029723165,0.132257924,0.028118906,0.088724,0.212290491,0.000639993,-0.00156,0.266907749
21,0.112643469,0.027624351,0.117856694,0.025948349,0.115792839,0.202477947,0.000675512,-0.00156,0.252211677
22,0.101172593,0.024967072,0.106696979,0.023921876,0.131520667,0.187559456,0.000704807,-0.00156,0.238865386
23,0.092952147,0.022795715,0.098560255,0.023950353,0.1459907,0.165288021,0.001753102,-0.00156,0.230613734
24,0.084746223,0.02174747,0.090808544,0.02397883,0.159284173,0.146268976,0.003851997,-0.00156,0.222362083
25,0.077799285,0.021707183,0.084289996,0.024009134,0.158113654,0.13135,0.003887491,-0.00156,0.216814874
26,0.071636929,0.01960686,0.078649264,0.024044731,0.145919305,0.119413877,0.003918401,-0.00156,0.212280467
27,0.066188302,0.017507553,0.071354014,0.02783422,0.135101591,0.105677693,0.003946812,-0.00156,0.208921034
28,0.060853386,0.015255688,0.066473063,0.034014387,0.124283767,0.096382651,0.003975207,-0.00156,0.205901449
29,0.056511793,0.012680235,0.06348197,0.046883428,0.113465437,0.085953414,0.004009503,-0.00156,0.189500754
30,0.049469528,0.010581422,0.055344048,0.06337982,0.102641525,0.077367,0.004041997,-0.00156,0.169908313
31,0.044736173,0.010151275,0.053103836,0.079350917,0.093182246,0.069036232,0.004070393,-0.00156,0.151483276
32,0.042236784,0.010275203,0.049024456,0.093808414,0.086070164,0.063457009,0.004098808,-0.00156,0.140465593
33,0.037895191,0.010403702,0.044051889,0.09207292,0.080075253,0.058715024,0.004127211,-0.00156,0.128273684
34,0.035227549,0.010525412,0.039731607,0.08464157,0.072304699,0.053429059,0.004157008,-0.00156,0.115346921
35,0.032902097,0.010646772,0.037523491,0.080044252,0.068005905,0.049039832,0.004192502,-0.00156,0.104324156
36,0.030336334,0.012013857,0.035316336,0.08086342,0.061187526,0.044656525,0.004222397,-0.00156,0.094753124
37,0.028206161,0.020365839,0.033008348,0.105753022,0.055084318,0.039782882,0.004250799,-0.00156,0.086501472
38,0.026075987,0.024931402,0.03028458,0.130442468,0.050675528,0.035372368,0.004279215,-0.00104534,0.079375915
39,0.023942305,0.026720468,0.028078054,0.152831749,0.045288411,0.033235507,0.013978975,0.002284015,0.0749957
40,0.021803485,0.026344098,0.02587052,0.151158395,0.040949534,0.031104,0.053822179,0.013405286,0.069619102
41,0.021877979,0.024238146,0.024130838,0.142938942,0.03665074,0.02708919,0.124178533,0.028033123,0.063268922
42,0.020653124,0.023976036,0.02408848,0.13767867,0.032541029,0.023094463,0.179069199,0.042870004,0.057094479
43,0.018421173,0.030381532,0.022313918,0.150957889,0.029874242,0.021108248,0.225839749,0.075398335,0.05189893
44,0.015761909,0.045307357,0.020103105,0.174456369,0.025618602,0.021238192,0.254235773,0.128213242,0.047518715
45,0.013631735,0.060229344,0.017887934,0.200216543,0.022523288,0.0198296,0.28540639,0.184183426,0.045045287
46,0.012930543,0.075555365,0.017769132,0.225104217,0.020396297,0.017693777,0.30869989,0.239052596,0.04131474
47,0.012481388,0.097853601,0.01624215,0.250424061,0.018267973,0.015564136,0.323368701,0.262416262,0.03699597
48,0.010351215,0.125301551,0.014612475,0.269519246,0.016145675,0.015488099,0.334419122,0.28149475,0.034825776
49,0.010048965,0.146851088,0.014570116,0.288377926,0.014631803,0.01413742,0.34336953,0.304556103,0.03265023
50,0.010122968,0.152816277,0.014520717,0.310824275,0.014673918,0.012610963,0.37714,0.360501859,0.029241121
51,0.010201075,0.141328027,0.013218503,0.335822568,0.017816106,0.012665949,0.428941274,0.417706591,0.025216461
52,0.010279181,0.126589625,0.011363127,0.36049279,0.022199907,0.010534776,0.499319743,0.484965646,0.023040668
53,0.010357287,0.119489063,0.011320768,0.386810442,0.028762501,0.009863923,0.554193822,0.540921403,0.020447846
54,0.009998774,0.134410404,0.011273145,0.391373796,0.03434422,0.009991986,0.560416277,0.520671634,0.019513204
55,0.0078615,0.149334711,0.011226051,0.387047371,0.036485977,0.010114711,0.536095149,0.488386279,0.018994034
56,0.007471606,0.170968492,0.011183693,0.381069461,0.031103704,0.008265668,0.509926024,0.445241419,0.016825398
57,0.007549713,0.180236283,0.011141306,0.375586412,0.028557322,0.007240161,0.476656753,0.406610081,0.016540603
58,0.007627819,0.183578521,0.011095421,0.390371806,0.026429844,0.007363644,0.426856175,0.35430449,0.015565951
59,0.007705925,0.186165928,0.011046573,0.40792408,0.02430168,0.007493588,0.375086978,0.312808988,0.013532191
60,0.00778,0.188896998,0.011004215,0.427114719,0.02218038,0.005996,0.32798223,0.278850374,0.013568003
61,0.007852059,0.19124567,0.010961856,0.438823315,0.020055788,0.004621184,0.2882061,0.246555348,0.028902118
62,0.007930165,0.181388232,0.010917747,0.434492509,0.018307347,0.004743909,0.253088832,0.220526134,0.062826625
63,0.008008271,0.170372171,0.010868329,0.426278804,0.018349461,0.004866634,0.221023843,0.202087289,0.104343842
64,0.008086378,0.15806206,0.01082478,0.418164853,0.01635874,0.004993439,0.199817261,0.177539594,0.147275691
65,0.008164484,0.162630906,0.010779492,0.412691862,0.014024224,0.005122084,0.179750869,0.157588842,0.18518723
66,0.008235991,0.169977627,0.010730074,0.410243287,0.011901896,0.005244809,0.161553638,0.142795532,0.224187914
67,0.008310697,0.178433311,0.010687705,0.404992673,0.009775102,0.005373346,0.146953125,0.13392508,0.261840323
68,0.008077782,0.179018217,0.010645346,0.394324237,0.009307492,0.004572768,0.133789498,0.120502613,0.28952799
69,0.005396344,0.171774881,0.010244698,0.3797135,0.009354271,0.002493289,0.120839886,0.106413538,0.294202953
70,0.005429993,0.166076948,0.008038172,0.365110832,0.009396385,0.002623234,0.108814303,0.098102347,0.294996006
71,0.005505075,0.159521223,0.007443083,0.350518149,0.007455746,0.002748557,0.097863886,0.089783845,0.295034171
72,0.005583181,0.151574513,0.007395998,0.334806517,0.010372687,0.002873122,0.088939093,0.081465234,0.295077114
73,0.005661287,0.141358457,0.007353639,0.315054493,0.01949402,0.003003066,0.080743459,0.073140006,0.297177845
74,0.005739394,0.127212586,0.007304828,0.299504926,0.030374994,0.003126732,0.074382312,0.066538674,0.298239203
75,0.005815,0.11620099,0.007258922,0.280787025,0.041249773,0.0032495,0.069753537,0.061544764,0.298275991
76,0.005886006,0.105415383,0.007216564,0.266181636,0.046760864,0.003373028,0.061551502,0.056725685,0.298318966
77,0.005963713,0.0971835,0.007174205,0.251576922,0.046803509,0.003502973,0.056976597,0.048414494,0.300001509
78,0.006041819,0.088951617,0.007127154,0.236974254,0.046852642,0.003630319,0.052029136,0.043879475,0.300717394
79,0.006119918,0.080725957,0.007079488,0.222369877,0.046897237,0.010598725,0.047019532,0.040714856,0.298548758
80,0.006197968,0.072502583,0.007037129,0.207757133,0.046458967,0.022008,0.042660882,0.037918121,0.288273034
81,0.006270962,0.064278714,0.006988899,0.193161482,0.044337667,0.033409547,0.039944291,0.03254487,0.280021382
82,0.006344165,0.059007244,0.006942412,0.178558814,0.04221198,0.044815473,0.035793817,0.030324988,0.271769731
83,0.006422271,0.056631112,0.006900053,0.170466951,0.038868566,0.061314211,0.032456756,0.026660212,0.261091014
84,0.004510607,0.051183845,0.006857695,0.165639035,0.03425029,0.077262829,0.030296861,0.022775224,0.252882871
85,0.003468484,0.048958274,0.006811225,0.160865504,0.032121965,0.091536,0.028131734,0.020555342,0.242154803
86,0.003545991,0.044979337,0.006762977,0.154301453,0.029999339,0.094959101,0.025966606,0.017866008,0.233355063
87,0.003616997,0.041019627,0.006720619,0.150712975,0.027666673,0.087461799,0.023669489,0.015495356,0.230799526
88,0.003692803,0.038919369,0.00505543,0.146200495,0.025133172,0.081405675,0.021016276,0.013275474,0.230840409
89,0.00377091,0.036820556,0.003563602,0.142460244,0.023004848,0.073305227,0.018858247,0.011055592,0.230876195
90,0.003849016,0.032570728,0.003514184,0.143207464,0.022664697,0.067792613,0.016695219,0.01089,0.232896272
91,0.003927122,0.030037197,0.003471228,0.16852121,0.021843183,0.065569316,0.014367203,0.009723606,0.23954177
92,0.004002026,0.029892311,0.003428869,0.193220634,0.019721883,0.061450601,0.012114802,0.00778,0.247718879
93,0.004073333,0.027793498,0.003385929,0.212393251,0.017068437,0.056474336,0.012143218,0.00778,0.254829605
94,0.004151383,0.025688437,0.00333651,0.203724632,0.014851586,0.051978921,0.010507047,0.005772091,0.261554309
95,0.004229468,0.023405457,0.003291793,0.181907642,0.01362024,0.046466306,0.008346515,0.00467,0.258848851
96,0.004307575,0.02131456,0.003249434,0.163592492,0.013669374,0.044289838,0.006181387,0.00467,0.256671494
97,0.004385681,0.02143592,0.003207076,0.148597072,0.011568793,0.040124226,0.006086803,0.00467,0.252403303
98,0.004457988,0.02155728,0.003158837,0.134915574,0.010663736,0.036275295,0.006115198,0.00467,0.250896368
99,0.003630174,0.020788813,0.003112359,0.124300994,0.010329186,0.034383688,0.005797382,0.00467,0.253533268
100,0.0015,0.01869,0.00307,0.11609,0.00766,0.03451,0.00309,0.00467,0.2591
